Stock_A,Stock_B,Stock_C,Stock_D
100.0,120.0,90.0,150.0
98.2628204029422,121.68476796832664,91.61529000262277,150.83050464859548
97.07371184852748,123.7692485716361,90.1959864799936,153.83968849666346
95.90747803805199,122.83463295342696,88.88813641624068,151.6712807534149
95.94494757464578,123.93525441691249,88.39008677998952,149.86385250730754
96.52305180541714,126.05309525811046,88.1390942609334,146.96821593584545
97.47907931518455,128.27033835905928,88.95298380412703,148.2426805753862
97.87167325714337,127.10736632236855,89.56353169455969,148.84622437068202
99.34203228190134,128.5336350940779,89.90478428920524,148.6741858175247
99.14816973862266,126.99252557490138,89.34128612644912,149.5608583046225
98.34702406231497,128.81336484984058,90.03720954150681,149.87379849930784
99.91824243390853,126.31157598479103,91.34420610676167,151.77003879391546
101.66002969749987,127.12262155725477,91.96060587651567,154.59713759226597
103.00077656950283,125.0094723555155,93.50362000649503,152.21295515340861
103.0703582253177,126.85158794903137,93.28920286268486,149.8593624868156
103.1350517199511,126.59191830903053,92.10873153717029,151.24413103189747
103.94463239858763,126.7034291699195,92.5744343109023,149.3585631069044
104.45788744613014,125.69857380303463,94.23330074417144,148.5318275160736
104.63709298729829,127.07216651267589,95.82793621860381,147.71096790879417
105.86169996987539,126.64691524446961,97.15016724095373,145.69537948152674
107.86338084800255,127.05057179037232,96.62459531462699,145.615697734511
105.72760119529252,125.84249723721777,97.22432888258354,146.55440103424917
107.04646832298837,124.32895944179234,96.96340950181742,143.88886553032853
105.90075577188227,122.7607794453324,97.14047609094348,146.48806733461603
106.63643247102404,122.24436068103404,97.14184116632158,146.84679192158822
107.10588928600191,123.55427228904763,98.03926451219142,146.21533202734196
106.58374299982626,121.11861673870533,99.44137766752168,144.18199920146824
104.98483275033915,122.92790498277687,99.00817846562958,145.07073968832907
105.13973172073453,122.26246142148162,97.991956707244,146.53751286503623
106.25306802325481,122.59453139056524,97.10688989650392,146.5492553810328
107.52299062980296,124.0154979814589,97.30974592328096,145.1686161153038
106.70470891024739,122.99002475625424,96.89943791477077,146.88003982505782
105.47440124502634,124.13674637837684,97.1794779371488,146.585897225483
105.90707800890452,124.65818388120428,97.29443696630453,144.3191465988503
105.61289766847017,123.66629224335182,97.9977040256573,143.69387359692334
105.35100619830628,125.89328382014517,96.60975054330972,142.93188626618362
104.21683787760624,126.41478249719123,98.47953547112624,140.17987384715977
105.79904585892814,124.48032169999827,96.8497288534019,142.26962248717837
106.09846492865755,123.95927605101248,95.52158799223578,139.54054121071846
104.44264474015887,123.11748994554675,96.03787016725407,139.04608154355066
103.2533555477018,125.14319261854259,95.8434371368673,140.03963366330757
103.40244230531596,126.76091197621601,97.72148638531294,142.49352880135547
103.56104513130894,129.11742235624152,98.50946941708288,144.79610786699556
105.44012904693625,128.04461513494945,99.40973723529582,147.61772405720464
106.91607493734278,130.2799023300586,100.58803743443714,149.97695854857562
104.83650878179365,128.40853918993403,100.52161815436422,149.66067518456225
106.74550953227072,128.9531334113555,102.38177399505592,147.79759317869275
108.47020232931257,130.94427429023952,101.16784980980826,148.4419428775854
107.2400374382799,129.31436295488584,103.0013415225239,149.11193449904115
106.55804559872621,131.65787796226837,101.14183349128848,149.6843526095513
108.49601934690598,133.2587658166154,102.02355080433232,148.48826500824205
109.88804727470237,133.63188228933723,100.20863673274194,147.60079875784905
110.01100869371636,133.93106020266023,98.92433352746392,148.6922142202279
108.5936354737999,133.60428465109072,99.00576088135993,149.61171626492984
109.97810898092065,134.45171909813735,100.32500144470713,149.82178201615025
111.22064343793784,133.67880482058553,98.64939784656384,147.51101048539
109.0141944997119,134.7496264843239,99.68866717766042,144.6202572970398
108.51952082028262,134.08277526571152,98.79396718017887,146.87794913458376
106.48021513997539,136.17934210616605,99.76512502456119,148.42344165094346
107.42405010662658,137.46743625147195,99.10579361246049,147.2821697378007
105.56596420240815,134.78941274868777,99.34482054743114,148.99155660566007
107.09382632473677,135.09582106283412,101.03395439799381,148.7205518971522
107.82010128611834,137.02895149722556,102.73579773101973,146.24170194067108
109.52980137937035,138.23340406355038,103.3076348633339,145.4037310542811
110.33604179770497,139.89446130651652,103.5584838581758,144.99200233972925
108.28112420417614,140.80139259620154,105.25773458437041,145.60041868066844
107.8075883189986,138.20192243957422,106.18357120737159,148.28858163719116
109.88074343977762,138.45303101196447,107.58120728072821,146.2613020545352
111.81331838224133,136.2627102631354,109.48650747275249,143.6406935007941
112.02650305426947,134.61963655256653,108.27141591200353,144.1855410355116
111.72750766212503,132.93994254518535,109.57404756457072,143.06815489393637
113.2559923991976,134.36226227544205,107.94663758545408,145.83637301261297
112.09676708818317,132.35360521799274,106.90040378470515,143.46217964547176
113.12212024303996,133.19925122800575,105.3755118933352,143.55043172493805
112.23332693040152,132.78252825611534,105.99176400110314,144.8959214388246
112.18005151563719,131.29622020483112,106.76414958425275,146.1577425743992
111.90102102545355,128.98173255037594,107.73901466940237,146.1842412159887
112.0075889345112,128.97398579081647,107.04479281700277,148.03170875184412
109.94270649550627,128.61963026334038,108.96135621905724,150.16074551579217
111.56749111549279,130.19135369279076,110.77370958814937,149.18080182855516
111.95347348168401,131.28267694836674,109.8436886208412,151.46302764646467
113.02310978101643,131.19914930265676,108.28598912307909,149.84927061180255
114.09247465289174,133.60558734426414,109.65410628915704,151.04222818955336
112.26417340608957,133.49713255839828,107.61815953473604,153.77496689352097
111.27962684933013,131.69562023859035,108.69513314855736,154.94945408342
109.22191192533316,131.07271440633332,109.47688993464764,155.8687339622647
108.53859380174282,129.01509573925875,110.40181984714967,158.45594619827918
106.54903376994227,129.9082698117974,108.94371815066168,159.84149697351313
107.7733238806242,130.8866858099065,108.82320440590898,160.5780200713831
107.14890137157398,132.51381759834445,110.39373763264456,160.45906620444416
107.67243271850336,130.87003047178612,110.53897742894837,161.57502958660524
106.89595218976261,130.36667903746573,110.98761272245969,162.174383667299
107.00658157444062,130.02341981387556,108.81391241173962,160.51260986251256
108.49713495797671,130.41198595784485,106.69048275179435,159.95116400336977
108.75369964858136,129.851278524102,107.07114349623805,159.6248569228076
109.50899892506368,129.77503564127625,108.41385857062937,162.74910973212232
110.71151630078097,127.56432697950065,107.74197430465189,164.29369207509998
109.2393513933431,129.6635829007883,105.95109850469704,162.24736874451798
107.34526540678083,132.2303631412559,105.79376737228999,159.18022693849207
105.35542364956072,134.2603659570452,104.62083447779172,160.28425408072616
107.32239698356389,136.66725790884587,105.2400926860416,161.4085526214169
108.5829662050866,138.88672159226138,104.08888442608445,159.31461031107563
109.84724793069327,140.32818445970761,104.60083981104134,159.93447730898427
107.92090541658044,142.5156067191671,105.74066866015127,160.65124170550078
109.92411330896563,142.33190076131794,104.41829206987579,163.76313778514273
109.09367249085993,139.65150132323635,105.61846062215366,161.6401413810047
110.5440272952635,137.05313125322652,106.61852383372643,162.96167881241146
110.9720086225618,135.64768899819867,107.11564031782865,162.18765180182885
109.03392253131969,133.04498628479973,109.04737334714035,162.2547718984537
110.15528017265054,131.40219034445,107.80724487622118,165.17250761918606
110.1626174622555,132.577765304857,107.66934429453978,162.96802138791304
111.85863350156512,134.4606745298128,105.81625870173254,160.65803482974667
113.9930302031462,136.06967593871332,106.93115430655631,157.63739577279026
112.38595930107633,137.7636940249547,107.8471831417714,159.54419267383457
114.61948376101135,135.04284022796085,107.68239661991149,162.16032311269734
116.19568470732231,135.4855141886098,108.76622971427172,159.2340354335816
115.76265972138499,137.58434438622243,108.02420776479738,157.7893490012224
113.62962002827734,137.41320595622994,109.14263652056637,156.6267439038389
112.69279171290586,138.57693779379687,107.53057396015637,155.3578115835761
111.75418534292562,136.31211090548211,106.16174007833773,153.97320052262774
112.55121880027909,136.02872901679928,105.93472235970468,153.75941477438573
113.68391849905966,134.1881904881653,105.01242851934765,154.6457920218556
112.07898272713221,131.98353713857674,103.01896259193627,152.5176840520059
110.45677915358901,132.5001925066836,103.7786631106692,152.126786630178
108.3726176465342,130.47111956933085,103.70935537574023,152.88192595870765
106.3334097637511,129.5951041297912,105.73631774661112,151.67360668562188
107.47770405935611,127.55294107291738,105.96957265314182,154.31479056993282
105.41229979983514,126.09775745956146,104.59278960937957,157.12130689956314
105.78914904170617,128.3117318926227,104.86453334420689,158.89545678889533
106.49741840258221,129.1844613014638,106.42409075796485,159.51499348151282
104.89250490390016,126.71799555677924,106.99445502420669,160.53912776358138
103.99972707738218,127.94928248506312,105.31811858935704,160.29875593175538
104.87186088855101,126.79774191327574,105.15835604934192,162.30301840379525
106.32070383348731,127.55568075397028,106.98209174708886,160.71613240700415
104.28091206999245,129.55091456974333,107.1105775956486,163.51318971823127
105.81669719136627,129.54797399716477,108.82227390549909,166.3848907707026
106.4420088763534,128.19197125166792,110.70281466067568,166.4886668263661
104.81718709905223,128.77371152238055,109.83157304167145,166.39051472170817
104.16299741926235,126.5108106020547,108.9535931275428,163.23348507566095
104.33785666301908,124.14269387929231,111.01155675504344,162.92399231287126
103.99169338679528,126.46364642138131,109.29564176680275,161.87429445035536
103.20923521225478,128.54648094531026,110.82595491876035,158.63696192381374
103.09083206675754,127.67864285897488,112.61410826982785,161.52804774529108
104.64013038636246,127.88400722737236,112.54780661437435,159.3847790675462
103.63109784523168,127.55135611040845,113.02509539906444,162.02835201123276
103.11995777840079,129.44558662766792,112.07754425661423,159.20211148592037
103.9230124083823,131.5437009963041,110.80569818575084,161.62294576613948
104.3901062452006,132.73722539769398,108.63381512883159,160.25918186500294
105.46650720065969,130.30236517588227,107.89251387699628,159.82330546278126
106.33524342082742,132.635472615634,109.98398839381922,161.46865334981067
106.04690020284247,132.02971060251983,108.14425191941798,163.6458182210209
106.47483476498819,134.42427607359718,107.78603274857542,161.73555997392822
104.9128344938121,135.59848077387508,106.30113915435291,159.07143314777943
106.40182159465073,137.91863128411902,107.45146146052416,157.87827486556833
106.46883717314617,135.760651134327,107.00317936146831,155.21741431906025
108.46339640164632,133.05250184260984,105.86837636334506,153.2210493261555
110.52298798910655,132.81954718772118,105.96192943456292,155.52834060225555
112.24269480115662,135.45379198254005,105.70406187955682,152.57594181191456
114.48537041796028,133.69869722182872,107.03470514223648,154.94347957954986
